Abendrothschule<br>Grundschule,Abendroth-GS@cuxhaven.de
Grundschule Reppenstedt<br>,grundschule.reppenstedt@t-online.de
Grundschule Resse<br>,gs.resse@Wedemark.de
Grundschule Rethen<br>,GS-Rethen@Laatzen.de
Grundschule Rethmar<br>,rethmar@grundschulen-sehnde.de
Grundschule Rhade<br>,sekretrariat@grundschule-rhade.de
Grundschule Rhaudermoor<br>,gs.rhaudermoor@t-online.de
Grundschule Rhüden<br>,GS.Rhueden@t-online.de
Grundschule Rheinring<br>,gs.rheinring@braunschweig.de
Grundschule Rheinstraße<br>,gs-rheinstrasse@wilhelmshaven.de
Grundschule Rühen<br>,grundschule-ruehen@t-online.de
Grundschule Rühme<br>,gs.ruehme@braunschweig.de
Grundschule Ribbesbüttel<br>,gs-ribbesbuettel@isenbuettel.de
Grundschule Riemsloh<br>,sekretariat@ghs-riemsloh.de
Grundschule Riepe<br>,Grundschule-Riepe@t-online.de
Grundschule Ringe<br>,schulleitung@grundschule-ringe.de
Grundschule Ringelheim<br>,gsringelheim@web.de
Grundschule Rodenkirchen<br>,Grundschule-Rodenkirchen@t-online.de
Grundschule Rodewald<br>,gs-rodewald@t-online.de
Grundschule Ronnenberg<br>,grundschule@ths.ronnenberg.de
Grundschule Rosche<br>,gs.rosche@iosr.de
Grundschule Rosenthal-Schwicheldt<br>,GS-Rosenthal-Schwicheldt@stadt-peine.de
Grundschule Rostrup<br>Schule am Meer,verwaltung@grundschule-rostrup.de
Grundschule Rüstersiel<br>,GTS-Ruestersiel@wilhelmshaven.de
Grundschule Rötgesbüttel<br>,grundschule-roetgesbuettel@t-online.de
Grundschule Röwekamp<br>,gsroewekamp@gmx.de
Grundschule Sagehorn<br>,verwaltung@gs-sagehorn.de
Grundschule Salzbergen<br>,Grundschule-Salzbergen@t-online.de
Grundschule Salzdahlum<br>,gs-salzdahlum@versus-wf.de
Grundschule Salzderhelden/Vogelbeck<br>,grundschule-savo-buero@t-online.de
Grundschule Salzhausen/Eyendorf<br>,gs.salzhausen-eyendorf@salzhausen.de
Grundschule Salzhemmendorf<br>,info@grundschule-salzhemmendorf.de
Grundschule Salzmannstraße<br>,mail@Salzmannschule.info
Grundschule Sande<br>,GS.Sande@ewetel.net
Grundschule Sandhorst<br>,GS.Sandhorst@t-online.de
Grundschule Sandhorstschule<br>,sekretariat@sandhorstschule.de
Grundschule Sandkrug<br>,info@gs-sandkrug.de
Grundschule Sankt Hülfe-Heede<br>,gs.sankt-huelfe@diepholz.eu
Grundschule Sankt Johannes<br>,info@grundschule-spahnharrenstaette.de
Grundschule Sankt Martin<br>,info@gs-sankt-martin.de
Grundschule Schapen<br>,ludgerusschule.schapen@freenet.de
Grundschule Scharmbeckstotel<br>,grundschulescharmbeckstotel@osterholz-scharmbeck.de
Grundschule Scharnebeck<br>,grundschule.scharnebeck@t-online.de
Grundschule Scheeßel<br>,info@grundschule-scheessel.de
Grundschule Schepsdorf<br>,sekretariat@grundschule-schepsdorf.de
Grundschule Schäfer-Ast<br>,gs.radbruch@t-online.de
Grundschule Schierbrok<br>,sekretariat@grundschule-schierbrok.de
Grundschule Schillerschule<br>,gsschillerschule@goslar.de
Grundschule Schloß Ricklingen<br>,GS.Schloss-Ricklingen@t-online.de
Grundschule Schünebusch Estorf<br>,gs-schuenebusch@t-online.de
Grundschule Schönhagen/Sohlingen<br>,sekretariat@gs-schoenhagen-sohlingen.de
Grundschule Schöningen<br>,sekretariat@gs-schoeningen.de
Grundschule Schoningen<br>,info@grundschule-schoningen.de
Grundschule Schortens<br>,gs-schortens@schortens.de
Grundschule Schöppenstedt<br>,GS-Schoeppenstedt@t-online.de
Grundschule Schulenburg<br>,grundschule-schulenburg@pattensen.de
Grundschule Schunteraue<br>,gs.schunteraue@braunschweig.de
Grundschule Schunterwiesen<br>Hattdorf-Heiligendorf,schulleitung@gs-schunterwiesen.de
Grundschule Schwagstorf<br>,gs.schwagstorf@t-online.de
Grundschule Schwarme-Martfeld<br>,info@grundschule-schwarme-martfeld.de
Grundschule Schwege<br>,grundschule.schwege@web.de
Grundschule Schwülper<br>,mail@gs-schwuelper.de
Grundschule Südblanke<br>,gs-suedblanke@schulen-noh.de
Grundschule Süd<br>,info@gssued-walsrode.de
Grundschule Süderneuland<br>,schulleitung-suederneuland@norder-schulen.de
Grundschule Süd-Hümmling<br>,info@gs-sued-huemmling.de
Grundschule Süd Rinteln<br>mit Aussenstelle Möllenbeck,GS-Sued-SL@rinteln.de
Grundschule Seckenhausen<br>,sekretariat@gs-stuhr-seckenhausen.de
Grundschule Seeburg-Seulingen<br>,info@gs-seeburg-seulingen.de
Grundschule Seefeld-Schwei<br>,leitung@gs-seefeld-schwei.de
Grundschule Sehlde<br>,info@grundschule-sehlde.de
Grundschule Sellstedt<br>,gs-sellstedt@t-online.de
Grundschule Selsingen<br>,gs.selsingen@ewetel.net
Grundschule Sevelten/Elsten<br>für Schüler katholischen Bekenntnisses,gs-sevelten-elsten@t-online.de
Grundschule Söhlde<br>,gssoehlde@htp-tel.de
Grundschule Söhre<br>,Grundschule.Soehre@t-online.de
Grundschule Sickte<br>,sekretariat@gs-sickte.de
Grundschule Sierhausen<br>f. Schüler kath. Bek,vgssierhausen@t-online.de
Grundschule Sietland<br>,grundschule-sietland@t-online.de
Grundschule Simonswolde<br>,Grundschule-Simonswolde@t-online.de
Grundschule Sittensen<br>,info@gs-sittensen.de
Grundschule Sülfeld<br>,r_golz_wob@hotmail.com
Grundschule Soderstorf<br>,grundschule.soderstorf@gmx.de
Grundschule Sonnental<br>,verwaltung@gs-hesslingen.de
Grundschule Sonnentau<br>, grundschulesonnentau@osterholz-scharmbeck.de
Grundschule Sonnentau<br>,info@gs-sonnentau.de
Grundschule Sorsum<br>,gs-sorsum@schulen-hildesheim.de
Grundschule Sprakensehl<br>,grundschule.sprakensehl@t-online.de
Grundschule Sprötze-Trelde<br>,sekretariat@grundschule-sproetze-trelde.de
Grundschule Sösetal<br>,gs-soesetal@t-online.de
Grundschule Staakenweg<br>,grundschule.staakenweg@web.de
Grundschule Stade Hagen<br>,grundschule.hagen@t-online.de
Grundschule Stadtflur<br>,gs-stadtflur@schulen-noh.de
Grundschule Stadtmitte<br>,gs-mitte@wilhelmshaven.de
Grundschule Stammestraße<br>,gsstammestrasse@Hannover-Stadt.de
Grundschule St. Antonius<br>,antoniusschule@geeste.de
Grundschule Stapelmoor<br>,schulleitung@gs-stapelmoor.de
Grundschule Stöckheim<br>,gs.stoeckheim@braunschweig.de
Grundschule Stederdorf<br>,gs-stederdorf@stadt-peine.de
Grundschule Steimbke<br>,sekretariat@gs-steimbke.de
Grundschule Steinbeck<br>Volle Halbtagsschule,sekretariat@gs-steinbeck.de
Grundschule Steinhude<br>,sekretariat@gs-steinhude.de
Grundschule Steinkirchen<br>im Schulzentrum Luehe,sekretariat@grundschule-steinkirchen.de
Grundschule Stelingen<br>,vgs.stelingen@t-online.de
Grundschule Stelle<br>,GS-Stelle@t-online.de
Grundschule Steterburg<br>,GS-Steterburg@t-online.de
Grundschule St. Franziskus<br>,info@grundschule-werpeloh.de
Grundschule Stieglitzweg<br>,sekretariat@grundschule-stieglitzweg.de
Grundschule St. Josef<br>für Schüler katholischen Bekenntnisses,gs.st-josef@braunschweig.de
Grundschule St. Michael<br>f. Schüler kath. Bekenntnisses,GS.St.Michael.Salzgitter@t-online.de
Grundschule St.Nikolaus<br>f. Schüler kath. Bek,gs-st.nikolausschule@schulen-hildesheim.de
Grundschule St. Nikolaus<br>,grundschule.herzlake@ewetel.net
Grundschule Stockhausenstraße<br>,sekretariat@stockhausen-neustadt.de
Grundschule Stotel<br>,grundschule.stotel@t-online.de
Grundschule Strackholt<br>,post@Grundschule-Strackholt.de
Grundschule Ströhen<br>,gs-stroehen@t-online.de
Grundschule Stuhr-Varrel<br>Verlässliche Grundschule,sekretariat@gs-stuhr-varrel.de
Grundschule St.Willehad<br>f. Schüler kath. Bek.,gs.st.willehad@ewetel.net
Grundschule Suderburg<br>,grundschule.suderburg@t-online.de
Grundschule Sudmerberg<br>,Iris.Brembt-Liesenberg@goslar.de
Grundschule Sulingen<br>,sekretariat@grundschulesulingen.de
Grundschule Sustrum<br>,gs-sustrum@lathen.de
Grundschule Suthwiesenstraße<br>,Suthi@t-online.de
Grundschule Sutthausen<br>,sekretariat@grundschule-sutthausen.de
Grundschule SZ-Thiede<br>,sekretariat_gs_thiede@web.de
Grundschule Tannenhausen<br>,info@grundschule-tannenhausen.de
Grundschule Tarmstedt<br>,GrundschuleTarmstedt@gmx.de
Grundschule Tegelweg<br>,GSTegelweg@hannover-stadt.de
Grundschule Thuine<br>,grundschule@thuine.de
Grundschule Tiefenriede<br>,gstiefenriede@hannover-stadt.de
Grundschule Timmerlah<br>,gs.timmerlah@braunschweig.de
Grundschule Todtglüsingen<br>,gs.todtgluesingen@t-online.de
Grundschule tom-Brook<br>,gs-georgsheil@ewetel.net
Grundschule Tostedt<br>,grundschule.tostedt@ewetel.net
Grundschule Trebel<br>,grundschuletrebel@t-online.de
Grundschule Trupermoor<br>,gs-trupermoor@lilienthal.de
Grundschule Tweel<br>f. Schüler kath. Bek,gs-tweel@t-online.de
Grundschule Uchte<br>,info@gs-uchte.de
Grundschule Ueffeln<br>,gs-ueffeln@t-online.de
Grundschule Uelsen<br>,sekretariat@gs-uelsen.de
Grundschule Uesen<br>,GS.UESEN@t-online.de
Grundschule Uetze<br>,gs-uetzeschulleitung@web.de
Grundschule Unter dem Regenbogen<br>Kath. Grundschule Kreyenbrück,kath.grundschule.kreyenbrueck@ewetel.net
 Grundschule Unter der Schaumburg<br>,gs-deckbergen-sl@rinteln.de
Grundschule Unterlüß<br>,ghs-unterluess@web.de
Grundschule Upgant-Schott<br>,Grundschule_Upgant-Schott@t-online.de
Grundschule Uphusen<br>,gs-uphusen@t-online.de
Grundschule Upstalsboom<br>,info@gs-upstalsboom.de
Grundschule Uschlag<br>,gsuschlag@t-online.de
Grundschule Uslar<br>,Grundschule-Uslar@t-online.de
Grundschule Utarp / Ochtersum<br>,gs.utarp.ochtersum@ewetel.net
Grundschule Uthlede<br>,grundschule.uthlede@t-online.de
Grundschule Vahrendorf<br>,gs-vahrendorf@t-online.de
Grundschule Varrelbusch/Falkenberg<br>f. Schüler kath. Bek,GS.Varrelbusch.Falkenberg@t-online.de
Grundschule Veenhusen<br>,gs-veenhusen@ewetel.net
Grundschule Veerßen<br>,gs-veerssen@t-online.de
Grundschule Vehrte<br>,grundschule-vehrte@t-online.de
Grundschule Veltenhof<br>,gs.veltenhof@braunschweig.de
Grundschule Versen<br>,grundschule.versen@ewetel.net
Grundschule Vögelsen<br>Verlässlich,gs-voegelsen@t-online.de
Grundschule Victorbur<br>,gs.victorbur@ewetel.net
Grundschule Vienenburg<br>,gsvienenburg@goslar.de
Grundschule Vinnhorst<br>,GSVinnhorst-Schulleitung@Hannover-Stadt.de
Grundschule Völkenrode-Watenbüttel<br>,gs.voelkenrode-watenbuettel@braunschweig.de
Grundschule Völlen<br>Hospitationsschule für die Eingangsstufe,info@grundschule-voellen.de
Grundschule Völlenerkönigsfehn<br>,info@grundschule-voellenerkoenigsfehn.de
Grundschule Volkmarode<br>,gs.volkmarode@braunschweig.de
Grundschule Vorbrück<br>,gsvorbrueck@aol.com
Grundschule Vorwerk<br>,gs-vorwerk@gmx.de
Grundschule Voslapp<br>,gs-voslapp@stadt.wilhelmshaven.de
Grundschule Voxtrup<br>,gs-voxtrup@osnanet.de
Grundschule Vörden<br>,grundschule_voerden@ewetel.net
Grundschule Vrees<br>,Grundschule-Vrees@t-online.de
Grundschule Waggum<br>,gs.waggum@braunschweig.de
Grundschule Wahnbek<br>,sekretariat@gs-wahnbek.de
Grundschule Wahrenholz<br>,grundschule.wahrenholz@t-online.de
Grundschule Walchum<br>,schulleitung@gs-walchum.de
Grundschule Waldschule Tülau-Voitze<br>,gstuelau-voitze@t-online
Grundschule Waldweg<br>VGS,waldwegschule@t-online.de
Grundschule Walkenried<br>,grundschule@walkenried.de
Grundschule Walle<br>,info@gswalle.de
Grundschule Walle<br>,schulleitung@gs-walle.de
Grundschule Wallinghausen<br>,grundschule-wallinghausen@ewetel.net
Grundschule Wangerooge<br>,info@inselschule-wangerooge.de
Grundschule Wardenburg<br>,info@gswardenburg.de
Grundschule Warmsen<br>,info@gs-warmsen.de
Grundschule Warsingsfehn - Ost<br>,gs-warsingsfehn-ost@ewetel.net
Grundschule Warsingsfehn-West<br>,gs-warsingsfehn-west@ewetel.net
Grundschule Wasbüttel<br>,gs-wasbuettel@isenbuettel.de
Grundschule Wasserkampstraße<br>,gswasserkampstrasse@hannover-stadt.de
Grundschule Wathlingen<br>,buero@gs-wathlingen.de
Grundschule Wechloy<br>,info@gswechloy.de
Grundschule Weene<br>,GrundschuleWeene@ewe.net
Grundschule Weener<br>,schulleitung@gs-weener.de
Grundschule Wehm<br>,grundschule-wehm@t-online.de
Grundschule Wehrendorf<br>,gs-wehrendorf@t-online.de
Grundschule Wellendorf<br>,grundschulewellendorf@t-online.de
Grundschule Wenden<br>Verlässliche Grundschule,gs.wenden@braunschweig.de
Grundschule Wendisch Evern<br>,email@grundschule.wendischevern.de
Grundschule Wendlandstraße<br>,gswendlandstrasse@hannover-stadt.de
Grundschule Wendschott<br>,schulleitung-gswendschott@wolfsburg.de
Grundschule Wennigsen<br>,schulleitung@gs-wennigsen.de
Grundschule Werlte<br>,gs@grundschule-werlte.de
Grundschule West Elisabethfehn<br>,gs-west@t-online.de
Grundschule Westen<br>,info@gs-westen.de
Grundschule Westerende-Kirchloog<br>,Grundschule-Westerende@t-online.de
Grundschule Westergellersen<br>,grundschule.westergellersen@t-online.de
Grundschule Westerhausen<br>,sekretariat@gs-westerhausen.de
Grundschule Westerhof<br>,grundschule.westerhof@t-online.de
Grundschule Westerholt<br>,grundschule.westerholt@ewetel.net
Grundschule Westerloy<br>,leitung@gs-westerloy.de
Grundschule Westerweyhe<br>,grundschule-westerweyhe@t-online.de
Grundschule Wettbergen<br>,GSWettbergen@Hannover-Stadt.de
Grundschule Wettmar<br>,gs.wettmar@htp-tel.de
Grundschule Weyhausen<br>,grundschule.weyhausen@t-online.de
Grundschule Widukindland<br>,grundschulewidukindland@t-online.de
Grundschule Wiedelah<br>,sekretariat@grundschule-wiedelah.de
Grundschule Wiefelstede<br>,verwaltung@gs-wiefelstede.de
Grundschule Wiegboldsbur<br>,gs.wiegboldsbur@suedbrookmerland.de
Grundschule Wiegersen<br>,grundschule.wiegersen@t-online.de
Grundschule Wienhausen<br>,buero@grundschule-wienhausen.de
Grundschule Wiepenkathen<br>,info@grundschule-wiepenkathen.de
Grundschule Wieren<br>,GS-Wieren@t-online.de
Grundschule Wiesens<br>,info@grundschule-wiesens.de
Grundschule Wiesenschule<br>,info@wiesenschule-schwanewede.de
Grundschule Wiesmoor Mitte<br>,grundschule.wiesmoor.mitte@ewetel.net
Grundschule Wietze<br>,schulleitung@gs-wietze.de
Grundschule Wietzen<br>,Grundschule@Wietzen.de
Grundschule Wietzendorf<br>,schulleitung@gswietzendorf.de
Grundschule Wildemann<br>,gs-wildemann@t-online.de
Grundschule Wilstedt<br>,grundschulewilstedt@gmx.de
Grundschule Wilsum<br>,gs.wilsum@ewetel.net
Grundschule Winnigstedt<br>,gs-winnigstedt1@web.de
Grundschule Winsen (Aller)<br>,verwaltung@gs-winsen.de
Grundschule Wirdum<br>,gs_wirdum@brookmerland.info
Grundschule Wissingen<br>,gswissingen@t-online.de
Grundschule Wistedt<br>,grundschule-wistedt@t-online.de
Grundschule Wohltberg<br>,gs-wohltberg@wolfsburg.de
Grundschule Wolthusen<br>,GS-Wolthusen@t-online.de
Grundschule Woltwiesche<br>,GS.Woltwiesche@t-online.de
Grundschule Worphausen<br>,gs-worphausen@lilienthal.de
Grundschule Worpswede<br>,info@grundschule-worpswede.de
Grundschule Wrestedt<br>,Grundschule-Wrestedt@t-online.de
Grundschule Wüsting<br>,gs-wuesting@ewetel.net
Grundschule Wulften<br>,Grundschule-Wulften@t-online.de
Grundschule Wymeer<br>,info@grundschule-wymeer.de
Grundschule Zellerfeld<br>,sekretariat@gs-zellerfeld.de
Grundschule Zetel<br>Grundschule,kontakt@gs-zetel.de
Grund- und Hauptschule Altenbruch<br>,info@altenbrucher-schule.de
Grund- und Hauptschule Gildehaus<br>,post@schule-gildehaus.de
Grund- und Hauptschule Groß Ilsede<br>,ghsilsede@gmail.com
Grund- und Hauptschule Landesbergen<br>,verwaltung@GHSLandesbergen.de
Grund- und Hauptschule Pestalozzistr.<br>,ghs.pestalozzi@braunschweig.de
Grund- und Hauptschule Rüningen<br>,ghsrueningen@braunschweig.de
Grund- und Oberschule Baltrum<br> Inselschule,mronga@inselschule-baltrum.de
Grund- und Oberschule Bispingen<br>,verwaltung@schule-bispingen.de
Grund- und  Oberschule Börgermoor<br>,schule.boergermoor@ewetel.net
Grund-  und Oberschule<br>Neuenkirchen,info@gobs-neuenkirchen.de
Grund- und Oberschule Friedrichsfehn<br>,verwaltung@gobs-friedrichsfehn.de
Grund- und Oberschule Gartow<br>,elbauenschule@t-online.de
Grund- und Oberschule Lindern<br>,schule.lindern@ewetel.net
Grund- und Oberschule Lorup<br>,sekretariat@schulzentrum-lorup.de
Grund- und Oberschule Neuhaus/Elbe<br>,info@obs-neuhaus.de
Grund- und Oberschule Nordkehdingen<br>,oberschule@nordkehdingen.de
Grund- und Oberschule Oldendorf<br>,post@schulzentrum-oldendorf.de
Grund- und Oberschule Syke<br>, gobs@syke.de
Grund- u. Oberschule Wittingen<br>,info@gobs-wittingen.de
GS Am Welfenplatz<br>,gsamwelfenplatz@hannover-stadt.de
GS auf dem Windmühlenberge<br>Isernhagen,GS-IsernhagenNB@t-online.de
GS Buchholz-Kleefeld II<br>,gsbuchholz-kleefeld@hannover-stadt.de
GS Burgdorf<br>,verwaltung@gs-burgdorf.de
GS Freie Schule Bredelem<br>,info@freie-schule-bredelem.de
GS Gebrüder-Körting-Schule<br>,GSGebrueder-Koerting-Schule@Hannover-Stadt.de
GS Groß-Buchholzer Kirchweg<br>,40.011-gsgro@Hannover-Stadt.de
GS Hollenstedt<br>,sekretariat@grundschule-hollenstedt.de
GS Hüpede<br>,grundschule-huepede@pattensen.de
GS im Engelgarten<br>Grundschule f. Schüler kath. Bek.,sekretariat@gs-im-engelgarten.de
GS Isoldestraße<br>,gs.isoldestrasse@braunschweig.de
GS Käferschule<br>Grundschule,kaeferschule.wolfsburg@gmail.com
GS Lautenthal/Wolfshagen im Harz<br>,schulleitung@gs-lautenthal-wolfshagen.de
GS Maria-Montessori-Schule Nordhorn<br>,maria-montessori@schulen-noh.de
GS Nenndorf<br>in Rosengarten,grundschule.nenndorf@t-online.de
GS Rechtsupweg<br>,info@grundschule-rechtsupweg.de
GS Wiesenhof<br>Verlässliche Grundschule,gs-wiesenhof@wilhelmshaven.de
Gudewill-Schule Thedinghausen<br>Oberschule mit gymn. Angebot,sekretariat@gudewill-mail.de
Gudrun-Pausewang-Grundschule<br>,gpgs.schulleitung@gpgs-burgdorf.de
Gunzelin-Realschule<br>,rs-peine@t-online.de
Gutenbergschule<br>Hauptschule,Gutenberglehrer@t-online.de
Gutenbergschule Löningen<br>Hauptschule,hsloeningen@t-online.de
Gut Spascher Sand Privatschule gGmbH<br>,info@gut-spascher-sand.de
Gymnasium Adolfinum<br>,sekretariat@adolfinum-schaumburg.de
Gymnasium Alfeld<br>,gymalfeld@t-online.de
Gymnasium am Bötschenberg<br>,gaboe@t-online.de
Gymnasium am Fredenberg<br>,schulleitung@gymfred.de
Gymnasium am Kattenberge<br>,sekretariat@gak-buchholz.de
Gymnasium am Markt Achim<br>,Gamma.Achim@gmx.net
Gymnasium am Silberkamp<br>,bock@silberkamp.de
Gymnasium am Wall<br>,info@gaw-verden.de
Gymnasium an der Vechte<br>Emlichheim,Gymnasium-Emlichheim@t-online.de
Gymnasium an der Willmsstraße<br>,willms@ewetel.net
Gymnasium Andreanum<br>Schule in freier Trägerschaft,sekretariat@andreanum.de
Gymnasium Antonianum<br>,Gy.Antonianum@t-online.de
Gymnasium Bad Essen<br>,sekretariat@gymnasium-bad-essen.de
Gymnasium Bad Iburg<br>,gbi@gymnasium-badiburg.de
Gymnasium Bad Nenndorf<br>,info@gymbane.de
Gymnasium Bad Zwischenahn-Edewecht<br>,gymnasium.bad.zwischenahn@ewetel.net
Gymnasium Bersenbrück<br>,gymbsb@web.de
Gymnasium Bleckede<br>,gymnasium.bleckede@landkreis.lueneburg.de
Gymnasium Brake<br>,sekretariat@gymnasium-brake.de
Gymnasium Bremervörde<br>,gym.brv@ewetel.net
Gymnasium Bruchhausen-Vilsen<br>,gym.bruvi@schulnet.diepholz.de
Gymnasium Burgdorf<br>,info@gymbu.de
Gymnasium Buxtehude-Süd<br>,sekretariat@gymbuxsued.de
Gymnasium Carolinum<br>,infopost@carolinumosnabrueck.de
Gymnasium Corvinianum<br>,gymnasium@corvinianum.de
Gymnasium Damme<br>,info@gymnasium-damme.de
Gymnasium Dörpen<br>,sekretariat@gymnasium-doerpen.de
Gymnasium Ernestinum<br>,Ernestinum@Gym-Rinteln.de
Gymnasium Ernestinum<br>,verwaltung@ernestinum-celle.de
Gymnasium Eversten<br>,sekretariat@gymnasium-eversten.de
Gymnasium Fallersleben<br>,verwaltung@gyfa.de
Gymnasium Ganderkesee<br>,gymnasium-ganderkesee@ewetel.net
Gymnasium Georgianum<br>,gymnasium-georgianum@t-online.de
Gymnasium Großburgwedel<br>,schulleitung@gymnasium-grossburgwedel.de
Gymnasium Groß Ilsede<br>,verwaltung@gymnasium-gross-ilsede.de
Gymnasium Hankensbüttel<br>,verwaltung@gyhank.de
Gymnasium Haren<br>,sekretariat@gymnasium-haren.de
Gymnasium Himmelsthür<br>,schulverwaltung@gymnasium-himmelsthuer.de
Gymnasium Hittfeld<br>,sekretariat@gymnasium-hittfeld.de
Gymnasium im Schloß<br>,info@gis-wf.de
Gymnasium In der Wüste<br>,gidw-os@osnanet.de
Gymnasium Isernhagen<br>,info@gym-isernhagen.de
Gymnasium Kleine Burg<br>,schulleitung@kleineburg.de
Gymnasium Langen<br>,info@gymnasium-langen.de
Gymnasium Langenhagen<br>,info@gymnasium-langenhagen.de
Gymnasium Lüchow<br>,gluechow@t-online.de
Gymnasium Lehrte<br>,gymnasium@lehrte.de
Gymnasium Lemwerder<br>,info@gymnasium-lemwerder.de
Gymnasium Leoninum<br>in freier Trägerschaft,schulbuero@handrup.de
Gymnasium Liebfrauenschule Oldenburg<br>Schule in freier Trägerschaft,sekretariat@liebfrauenschule.de
Gymnasium Lilienthal<br>,verwaltung@gymnasium-lilienthal.de
Gymnasium Limmer<br>,gylimmer@hannover-stadt.de
Gymnasium Lüneburger Heide<br>in freier Trägerschaft,info@glh.de
Gymnasium Lohne<br>,GymnasiumLohne@t-online.de
Gymnasium Loxstedt<br>,Gymnasium.Loxstedt@ewetel.net
Gymnasium Meckelfeld<br>,gym@gymmeckelfeld.de
Gymnasium Melle<br>,gymnasium-melle@t-online.de
Gymnasium Mellendorf<br>, sekretariat@gym-mellendorf.de
Gymnasium Munster<br>,sekretariat@gymun.de
Gymnasium Neustadt a. Rbge.<br>,sekr@gymnasium-neustadt.de
Gymnasium Neu Wulmstorf<br>,schulleitung@gymnasium-neu-wulmstorf.de
Gymnasium Nordenham<br>,verwaltung@gym-nordenham.de
Gymnasium Nordhorn<br>,sekretariat@gymnasium-nordhorn.net
Gymnasium Oedeme<br>,sekretariat@gymnasium-oedeme.de
Gymnasium Oesede<br>,info@gymnasium-oesede.de
Gymnasium Osterholz-Scharmbeck<br>,Verwaltung@gymnasium-osterholz.de
Gymnasium Otterndorf<br>,schule@gymnasium-otterndorf.de
Gymnasium Ottersberg<br>,sekretariat@gymnasium-ottersberg.de
Gymnasium Papenburg<br>,sekretariat@gymnasium-papenburg.de
Gymnasium Pädagogium Bad Sachsa<br>Gymnasium in freier Trägerschaft,kontakt@internats-gymnasium.de
Gymnasium Philipp Melanchthon<br>,mail@pmg-meine.de
Gymnasium Rhauderfehn<br>,leitung@gymnasium-rhauderfehn.de
Gymnasium Ritterhude<br>,sekretariat@gymnasium-ritterhude.de
Gymnasium Salzgitter-Bad<br>,schule@gymszbad.de
Gymnasium Salzhausen<br>,info@gymnasium-salzhausen.de
Gymnasium Sarstedt<br>,svw@gymnasium-sarstedt.de
Gymnasium Soltau<br>,sekretariat@gym-soltau.de
Gymnasium Sottrum<br>,sekretariat@gymnasium-sottrum.de
Gymnasium Stolzenau<br>,post@gymnasium-stolzenau.de
Gymnasium Sulingen<br>,info@gymnasium-sulingen.de
Gymnasium Syke<br>,gym-syke@schulnet.diepholz.de
Gymnasium Tostedt<br>,sekretariat@gymnasiumtostedt.de
Gymnasium Ulricianum<br>,verwaltung@ulricianum-aurich.de
Gymnasium unter den Eichen Uetze<br>,gymnasium-uetze@uetze.de
Gymnasium Uslar<br>,schule@gymnasium-uslar.de
Gymnasium Walsrode<br>,verwaltung@gymnasium-walsrode.de
Gymnasium Warstade<br>,sekretariat@gymnasium-warstade.de
Gymnasium Werlte<br>,sekretariat@gymnasium-werlte.com
Gymnasium Wesermünde<br>,schulleitung@gymnasium-wesermuende.de
Gymnasium Westerstede<br>Europaschule,sekretariat@gymnasium-westerstede.de
Gymnasium Wildeshausen<br>,info@gymnasium-wildeshausen.de
Gymnasium Winsen<br>,schule@gymnasium-winsen.de
Haarentorschule<br>Grundschule,grundschule-haarentor@t-online.de
Hafenschule<br>Grundschule,GS-Hafenstrasse@t-online.de
Hafenschule - Grundschule<br>mit Kl. mit Schwpt. körp. u. motor. En,hafenschule@wilhelmshaven.de
Hagenbergschule<br>Grundschule,Hagenberg@goettingen.de
Hagentorschule<br> - Grundschule in Stadtoldendorf -,Sekretariat@gs-stadtoldendorf.org
Hainberg-Gymnasium<br>UNESCO-Projektschule,sekretariat@hainberg-gymnasium.de
Hainbundschule<br>Grundschule,hainbund@goettingen.de
Hainwaldschule  Vöhrum<br>,diana.szallies@stadt-peine.de
Halepaghen-Schule<br>Gymnasium,schulleitung@hps-buxtehude.de
Hannah-Arendt-Gymnasium Barsinghausen<br>-Ganztagsgymnasium-,info@han-nah.de
Hans-Böckler-Schule<br>Grundschule,schulleitung@hbs-neustadt.de
Hanseschule Oedeme<br>Oberschule,info@hanseschule-oedeme.de
Hanseschule Winsen<br>Grund- und Hauptschule,Info@hanseschule-winsen.de
Hans-Georg-Karg-Schule<br>Grund- und Oberschule in fr. Trgs. im CJD BS,grundschule@cjd-braunschweig.de
Hardautal-Schule<br>Oberschule,schulleitung@hardautalschule.de
Hasebrinkschule<br>Grundschule f. Schüler kath. Bek,hasebrinkschule@ewetel.net
Hauptschule am Fredenberg<br>Ganztagsschule,verwaltung@hs-fredenberg.de
Hauptschule An der Klunkau<br>,hs-klunkau@web.de
Hauptschule Barßel<br>,hs-barssel@t-online.de
Hauptschule Bramsche<br>,schulleitung@hauptschule-bramsche.de
Hauptschule Bremervörde<br>,hauptschulebrv@ewetel.net
Hauptschule<br>Neustädter Tor,sekretariat@hs-neustaedter-tor.de
Hauptschule Burgdorf<br>,verwaltung@rbg-burgdorf.de
Hauptschule Damme<br>,hso-damme@t-online.de
Hauptschule Dissen<br> -Offene Ganztagsschule-,info@hauptschule-dissen.de
Hauptschule Emlichheim<br>,HS_Emlichheim@t-online.de
Hauptschule Emsbüren<br>,hauptschule@hs-emsbueren.de
Hauptschule Fallersleben<br>,info-hs@hsfallersleben.de
Hauptschule Hankensbüttel<br>,hs.hankensbuettel@t-online.de
Hauptschule Hohenhameln<br>,HauptschuleHohenhameln@T-Online.de
Hauptschule Innenstadt<br>,info@hsios.de
